,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews,APPLE,ASUS,Avita,DELL,HP,Lenovo,MSI,Other_B,acer,AMD,Intel,M1,MediaTek,Qualcomm,Celeron Dual,Core i3,Core i5,Core i7,Core i9,M1,Other_P,Pentium Quad,Ryzen 3,Ryzen 5,Ryzen 7,Ryzen 9,DOS,Mac,Windows
47,11,3,1,4,0,1,0,1,14,1,0,0,38990,60890,35,4.2,33,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
48,10,3,1,4,0,1,0,1,14,0,0,0,37990,57990,34,4.2,286,36,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
49,11,3,1,4,0,1,0,1,14.96,1,0,1,41990,54510,22,3.6,10,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
50,11,3,1,4,0,1,0,1.5,15.6,1,0,0,45990,58990,22,4.5,816,147,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
51,11,3,1,4,0,1,0,1,15.6,1,0,0,39990,61590,35,4.3,543,65,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
52,11,3,1,4,0,1,0,1,15.6,0,0,0,42490,59654,28,4.8,9,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
53,10,3,5,4,0,1,0,1,14,0,0,0,32990,49999,34,4.3,1221,265,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
54,10,2,1,4,0,1,0,1,14,1,0,1,36990,40614,8,4.3,1178,137,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
55,11,3,1,4,0,1,0,1.5,14,1,1,1,53990,75490,28,4.4,299,41,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
56,11,3,1,4,0,1,0,1,14,0,0,0,36990,52990,30,4.4,20,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
57,10,2,1,4,0,1,0,1.5,15.6,2,0,0,38940,48200,19,4.3,758,64,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
58,10,2,1,4,0,1,0,1.5,15,1,0,1,39490,55490,28,4.4,634,64,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
59,11,3,1,4,0,1,0,1.5,15.6,1,0,0,45990,58990,22,4.5,816,147,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
60,10,3,1,4,0,1,0,1.5,15.6,2,0,1,39999,59999,33,5,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
61,11,3,1,4,0,1,0,1,15.6,1,0,0,42990,56776,24,4.3,17,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
62,11,3,1,4,0,1,0,1.5,14,1,1,0,49990,68658,27,4.2,24,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
63,11,3,1,4,0,1,0,1,14,1,0,1,41490,55448,25,4.3,1753,165,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
64,11,3,1,4,0,1,0,1,14.96,0,0,0,41990,57670,27,4.2,216,21,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
65,11,3,1,4,0,1,0,1,14,1,0,1,41990,57290,26,4.4,1084,160,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
66,10,3,5,4,0,1,0,1,14,0,0,0,32990,49999,34,4.3,1221,265,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
67,11,3,1,4,0,1,0,1.5,15.6,1,0,0,38490,51990,25,3.8,19,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
68,11,2,1,4,0,1,0,1,15,1,0,1,38990,51544,24,4.4,106,13,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
69,11,2,1,4,0,1,0,1.5,15.6,1,0,1,44990,59239,24,4.1,42,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
70,10,2,1,4,0,1,0,1,14,0,0,0,36490,53790,32,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
71,10,3,1,4,0,0,0,1.5,15.6,0,0,0,38970,56590,31,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
72,11,2,1,4,0,1,0,1,,1,0,1,44900,51000,11,4.2,1029,107,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
